Country/Region,Continent,Population,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region
Armenia,Asia,2963811.0,39819.0,772.0,31556.0,7491.0,0.0,9181.375,199.0,171600.0,57898.0,Europe
Ghana,Africa,31133483.0,39642.0,199.0,36384.0,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa
Kyrgyzstan,Asia,6534479.0,38659.0,1447.0,30099.0,7113.0,24.0,5916.0,199.0,267718.0,40970.0,Europe
Afghanistan,Asia,39009447.0,36896.0,1298.0,25840.0,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean
Switzerland,Europe,8660952.0,36108.0,1493.0,31600.0,2523.0,23.0,4169.0,199.0,822764.0,94997.0,Europe
Algeria,Africa,43926079.0,33626.0,1273.0,23238.0,9115.0,57.0,766.0,29.0,33626.0,765.0,Africa
Azerbaijan,Asia,10148243.0,33247.0,479.0,29275.0,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe
Morocco,Africa,36953359.0,29644.0,449.0,20553.0,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean
Uzbekistan,Asia,33516027.0,28315.0,175.0,19291.0,8849.0,103.125,845.0,5.0,1377915.0,41112.0,Europe
Serbia,Europe,8733665.0,27332.0,621.0,14047.0,12664.0,103.125,3129.0,71.0,723137.0,82799.0,Europe
Moldova,Europe,4032983.0,26628.0,828.0,18676.0,7124.0,103.125,6603.0,199.0,128076.0,31757.0,Europe
Ireland,Europe,4943200.0,26372.0,1493.0,23364.0,1240.0,5.0,5335.0,199.0,652917.0,132084.0,Europe
Kenya,Africa,53881160.0,24411.0,399.0,10444.0,13568.0,44.0,453.0,7.0,335318.0,6223.0,Africa
Venezuela,South America,28427499.0,22299.0,195.0,12146.0,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas
Nepal,Asia,29186486.0,21750.0,65.0,15389.0,6296.0,0.0,745.0,2.0,731977.0,25079.0,South-EastAsia
Austria,Europe,9011577.0,21696.0,719.0,19596.0,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe
Costa Rica,North America,5098730.0,21070.0,200.0,7038.0,13832.0,103.0,4132.0,39.0,96110.0,18850.0,Americas
Ethiopia,Africa,62940867.75,20900.0,365.0,9027.0,11508.0,103.125,181.0,3.0,468814.0,4069.0,Africa
Australia,Australia/Oceania,25528864.0,19890.0,255.0,10941.0,8694.0,52.0,779.0,10.0,1732555.25,181419.0,WesternPacific
El Salvador,North America,6489514.0,19126.0,513.0,9236.0,9377.0,103.125,2947.0,79.0,251271.0,38720.0,Americas
Czechia,Europe,10711019.0,17731.0,390.0,12320.0,5021.0,17.0,1655.0,36.0,728670.0,68030.0,Europe
Cameroon,Africa,26606188.0,17718.0,391.0,15320.0,2007.0,30.0,666.0,15.0,149000.0,5600.0,Africa
Ivory Coast,Africa,26437950.0,16447.0,103.0,12484.0,3860.0,0.0,622.0,4.0,104584.0,3956.0,Africa
S. Korea,Asia,51273732.0,14519.0,303.0,13543.0,673.0,18.0,283.0,6.0,1613652.0,31471.0,WesternPacific
Denmark,Europe,5794279.0,14306.0,617.0,12787.0,902.0,2.0,2469.0,106.0,1654512.0,183610.25,Europe
Palestine,Asia,5112340.0,13398.0,92.0,6907.0,6399.0,0.0,2621.0,18.0,200280.0,39176.0,EasternMediterranean
