Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Total cases,Total deaths,Total recovered,Total active,Active / 100 Cases
Saint Vincent and the Grenadines,52.0,0.0,39.0,13.0,0.0,0.0,0.0,0.0,75.0,0.0,50.0,2.0,4.0,Americas,52.0,0.0,39.0,13.0,25.0
San Marino,699.0,42.0,657.0,0.0,0.0,0.0,0.0,6.01,93.99,6.39,699.0,0.0,0.0,Europe,699.0,42.0,657.0,0.0,0.0
Sao Tome and Principe,865.0,14.0,734.0,117.0,2.0,0.0,38.0,1.62,84.86,1.91,746.0,119.0,15.95,Africa,867.0,14.0,772.0,81.0,13.519999999999996
Saudi Arabia,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,1.03,82.9,1.24,91124.0,7856.5,6.15,Eastern Mediterranean,100523.0,1822.25,56127.75,42573.0,16.069999999999993
Senegal,9764.0,194.0,6477.0,3093.0,83.0,3.0,68.0,1.99,66.34,3.0,8948.0,816.0,9.12,Africa,9847.0,197.0,6545.0,3105.0,31.67
Serbia,24141.0,543.0,0.0,22660.25,411.0,9.0,0.0,2.25,0.0,13.925,21253.0,2888.0,13.59,Europe,24552.0,552.0,0.0,24000.0,97.75
Seychelles,114.0,0.0,39.0,75.0,0.0,0.0,0.0,0.0,34.21,0.0,108.0,6.0,5.56,Africa,114.0,0.0,39.0,75.0,65.78999999999999
Sierra Leone,1783.0,66.0,1317.0,400.0,0.0,0.0,4.0,3.7,73.86,5.01,1711.0,72.0,4.21,Africa,1783.0,66.0,1321.0,396.0,22.439999999999998
Singapore,50838.0,27.0,45692.0,5119.0,469.0,0.0,171.0,0.05,89.88,0.06,48035.0,2803.0,5.84,Western Pacific,51307.0,27.0,45863.0,5417.0,10.070000000000007
Slovakia,2181.0,28.0,1616.0,537.0,2.0,0.0,39.0,1.28,74.09,1.73,1980.0,201.0,10.15,Europe,2183.0,28.0,1655.0,500.0,24.629999999999995
Slovenia,2087.0,116.0,1733.0,238.0,5.0,0.0,55.0,5.56,83.04,6.69,1953.0,134.0,6.86,Europe,2092.0,116.0,1788.0,188.0,11.399999999999991
Somalia,3196.0,93.0,1543.0,1560.0,18.0,0.0,22.0,2.91,48.28,6.03,3130.0,66.0,2.11,Eastern Mediterranean,3214.0,93.0,1565.0,1556.0,48.81
South Africa,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,1.56,60.75,2.57,91124.0,7856.5,21.12,Africa,100523.0,1822.25,56127.75,42573.0,37.69
South Korea,14203.0,300.0,13007.0,896.0,28.0,1.0,102.0,2.11,91.58,2.31,13816.0,387.0,2.8,Western Pacific,14231.0,301.0,13109.0,821.0,6.310000000000002
South Sudan,2305.0,46.0,1175.0,1084.0,43.0,1.0,0.0,2.0,50.98,3.91,2211.0,94.0,4.25,Africa,2348.0,47.0,1175.0,1126.0,47.02
Spain,99480.25,1807.25,55575.25,22660.25,0.0,0.0,0.0,8.27,55.2,13.925,91124.0,7585.0,2.86,Europe,99480.25,1807.25,55575.25,42097.75,36.53
Sri Lanka,2805.0,11.0,2121.0,673.0,23.0,0.0,15.0,0.39,75.61,0.52,2730.0,75.0,2.75,South-East Asia,2828.0,11.0,2136.0,681.0,24.0
Sudan,11424.0,720.0,5939.0,4765.0,39.0,3.0,49.0,6.3,51.99,12.12,10992.0,432.0,3.93,Eastern Mediterranean,11463.0,723.0,5988.0,4752.0,41.71
Suriname,1483.0,24.0,925.0,534.0,44.0,1.0,35.0,1.62,62.37,2.59,1079.0,404.0,37.44,Americas,1527.0,25.0,960.0,542.0,36.010000000000005
Sweden,79395.0,1807.25,0.0,22660.25,398.0,3.0,0.0,7.18,0.0,13.925,78048.0,1347.0,1.73,Europe,79793.0,1810.25,0.0,77982.75,92.82
Switzerland,34477.0,1807.25,30900.0,1599.0,65.0,1.0,200.0,5.74,89.62,6.4,33634.0,843.0,2.51,Europe,34542.0,1808.25,31100.0,1633.75,4.640000000000001
Syria,674.0,40.0,0.0,634.0,24.0,2.0,0.0,5.93,0.0,13.925,522.0,152.0,29.12,Eastern Mediterranean,698.0,42.0,0.0,656.0,94.07
Taiwan*,462.0,7.0,440.0,15.0,4.0,0.0,0.0,1.52,95.24,1.59,451.0,11.0,2.44,Western Pacific,466.0,7.0,440.0,19.0,3.240000000000009
Tajikistan,7235.0,60.0,6028.0,1147.0,43.0,1.0,58.0,0.83,83.32,1.0,6921.0,314.0,4.54,Europe,7278.0,61.0,6086.0,1131.0,15.850000000000009
Tanzania,509.0,21.0,183.0,305.0,0.0,0.0,0.0,4.13,35.95,11.48,509.0,0.0,0.0,Africa,509.0,21.0,183.0,305.0,59.919999999999995
Thailand,3297.0,58.0,3111.0,128.0,6.0,0.0,2.0,1.76,94.36,1.86,3250.0,47.0,1.45,South-East Asia,3303.0,58.0,3113.0,132.0,3.8799999999999955
Timor-Leste,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,South-East Asia,24.0,0.0,0.0,24.0,100.0
Togo,874.0,18.0,607.0,249.0,6.0,0.0,8.0,2.06,69.45,2.97,783.0,91.0,11.62,Africa,880.0,18.0,615.0,247.0,28.489999999999995
Trinidad and Tobago,148.0,8.0,128.0,12.0,1.0,0.0,0.0,5.41,86.49,6.25,137.0,11.0,8.03,Americas,149.0,8.0,128.0,13.0,8.100000000000009
Tunisia,1455.0,50.0,1157.0,248.0,3.0,0.0,15.0,3.44,79.52,4.32,1381.0,74.0,5.36,Eastern Mediterranean,1458.0,50.0,1172.0,236.0,17.040000000000006
Turkey,99480.25,1807.25,55575.25,10920.0,919.0,15.0,552.5,2.48,92.71,2.67,91124.0,6447.0,2.92,Europe,100399.25,1822.25,56127.75,42449.25,4.810000000000002
US,99480.25,1807.25,55575.25,22660.25,1042.75,15.0,552.5,3.45,30.9,11.16,91124.0,7856.5,11.88,Americas,100523.0,1822.25,56127.75,42573.0,65.65
Uganda,1128.0,2.0,986.0,140.0,13.0,0.0,4.0,0.18,87.41,0.2,1069.0,59.0,5.52,Africa,1141.0,2.0,990.0,149.0,12.409999999999997
Ukraine,67096.0,1636.0,37202.0,22660.25,835.0,11.0,317.0,2.44,55.45,4.4,60767.0,6329.0,10.42,Europe,67931.0,1647.0,37519.0,28765.0,42.11
United Arab Emirates,59177.0,345.0,52510.0,6322.0,264.0,1.0,328.0,0.58,88.73,0.66,57193.0,1984.0,3.47,Eastern Mediterranean,59441.0,346.0,52838.0,6257.0,10.689999999999998
United Kingdom,99480.25,1807.25,1437.0,22660.25,688.0,7.0,3.0,8.27,0.48,13.925,91124.0,4764.0,1.6,Europe,100168.25,1814.25,1440.0,96914.0,91.25
Uruguay,1202.0,35.0,951.0,216.0,10.0,1.0,3.0,2.91,79.12,3.68,1064.0,138.0,12.97,Americas,1212.0,36.0,954.0,222.0,17.97
Uzbekistan,21209.0,121.0,11674.0,9414.0,678.0,5.0,552.5,0.57,55.04,1.04,17149.0,4060.0,23.67,Europe,21887.0,126.0,12226.5,9534.5,44.39
Venezuela,15988.0,146.0,9959.0,5883.0,525.0,4.0,213.0,0.91,62.29,1.47,12334.0,3654.0,29.63,Americas,16513.0,150.0,10172.0,6191.0,36.800000000000004
Vietnam,431.0,0.0,365.0,66.0,11.0,0.0,0.0,0.0,84.69,0.0,384.0,47.0,12.24,Western Pacific,442.0,0.0,365.0,77.0,15.310000000000002
West Bank and Gaza,10621.0,78.0,3752.0,6791.0,152.0,2.0,0.0,0.73,35.33,2.08,8916.0,1705.0,19.12,Eastern Mediterranean,10773.0,80.0,3752.0,6941.0,63.940000000000005
Western Sahara,10.0,1.0,8.0,1.0,0.0,0.0,0.0,8.27,80.0,12.5,10.0,0.0,0.0,Africa,10.0,1.0,8.0,1.0,11.730000000000004
Yemen,1691.0,483.0,833.0,375.0,10.0,4.0,36.0,8.27,49.26,13.925,1619.0,72.0,4.45,Eastern Mediterranean,1701.0,487.0,869.0,345.0,42.47
Zambia,4552.0,140.0,2815.0,1597.0,71.0,1.0,465.0,3.08,61.84,4.97,3326.0,1226.0,36.86,Africa,4623.0,141.0,3280.0,1202.0,35.08
Zimbabwe,2704.0,36.0,542.0,2126.0,192.0,2.0,24.0,1.33,20.04,6.64,1713.0,991.0,37.975,Africa,2896.0,38.0,566.0,2292.0,78.63
