Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region,Hemisphere,Season
Philippines,0,0,0,0,Western Pacific,Northern,Winter
Poland,0,0,0,0,Europe,Northern,Winter
Portugal,0,0,0,0,Europe,Northern,Winter
Qatar,0,0,0,0,Eastern Mediterranean,Northern,Winter
Romania,0,0,0,0,Europe,Northern,Winter
Russia,0,0,0,0,Europe,Northern,Winter
Rwanda,0,0,0,0,Africa,Southern,Summer
Saint Lucia,0,0,0,0,Americas,Northern,Winter
Saint Vincent and the Grenadines,0,0,0,0,Americas,Northern,Winter
San Marino,0,0,0,0,Europe,Northern,Winter
Saudi Arabia,0,0,0,0,Eastern Mediterranean,Northern,Winter
Senegal,0,0,0,0,Africa,Northern,Winter
Serbia,0,0,0,0,Europe,Northern,Winter
Seychelles,0,0,0,0,Africa,Southern,Summer
Singapore,0,0,0,0,Western Pacific,Northern,Winter
Slovakia,0,0,0,0,Europe,Northern,Winter
Slovenia,0,0,0,0,Europe,Northern,Winter
Somalia,0,0,0,0,Eastern Mediterranean,Northern,Winter
South Africa,0,0,0,0,Africa,Southern,Summer
Spain,0,0,0,0,Europe,Northern,Winter
Sri Lanka,0,0,0,0,South-East Asia,Northern,Winter
Sudan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Suriname,0,0,0,0,Americas,Northern,Winter
Sweden,0,0,0,0,Europe,Northern,Winter
Switzerland,0,0,0,0,Europe,Northern,Winter
Taiwan*,1,0,0,1,Western Pacific,Northern,Winter
Tanzania,0,0,0,0,Africa,Southern,Summer
Thailand,2,0,0,2,South-East Asia,Northern,Winter
Togo,0,0,0,0,Africa,Northern,Winter
Trinidad and Tobago,0,0,0,0,Americas,Northern,Winter
Tunisia,0,0,0,0,Eastern Mediterranean,Northern,Winter
Turkey,0,0,0,0,Europe,Northern,Winter
Uganda,0,0,0,0,Africa,Northern,Winter
Ukraine,0,0,0,0,Europe,Northern,Winter
United Arab Emirates,0,0,0,0,Eastern Mediterranean,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
Uruguay,0,0,0,0,Americas,Southern,Summer
USA,1,0,0,1,Americas,Northern,Winter
Uzbekistan,0,0,0,0,Europe,Northern,Winter
Venezuela,0,0,0,0,Americas,Northern,Winter
Vietnam,0,0,0,0,Western Pacific,Northern,Winter
Zambia,0,0,0,0,Africa,Southern,Summer
Zimbabwe,0,0,0,0,Africa,Southern,Summer
Dominica,0,0,0,0,Americas,Northern,Winter
Grenada,0,0,0,0,Americas,Northern,Winter
Mozambique,0,0,0,0,Africa,Southern,Summer
Syria,0,0,0,0,Eastern Mediterranean,Northern,Winter
Timor-Leste,0,0,0,0,South-East Asia,Southern,Summer
Belize,0,0,0,0,Americas,Northern,Winter
Laos,0,0,0,0,Western Pacific,Northern,Winter
Libya,0,0,0,0,Eastern Mediterranean,Northern,Winter
West Bank and Gaza,0,0,0,0,Eastern Mediterranean,Northern,Winter
Guinea-Bissau,0,0,0,0,Africa,Northern,Winter
Mali,0,0,0,0,Africa,Northern,Winter
Saint Kitts and Nevis,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Kosovo,0,0,0,0,Europe,Northern,Winter
Myanmar,0,0,0,0,South-East Asia,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
United Kingdom,0,0,0,0,Europe,Northern,Winter
Botswana,0,0,0,0,Africa,Southern,Summer
Burundi,0,0,0,0,Africa,Southern,Summer
Sierra Leone,0,0,0,0,Africa,Northern,Winter
Malawi,0,0,0,0,Africa,Southern,Summer
United Kingdom,0,0,0,0,Europe,Southern,Summer
France,0,0,0,0,Europe,Northern,Winter
South Sudan,0,0,0,0,Africa,Northern,Winter
Western Sahara,0,0,0,0,Africa,Northern,Winter
Sao Tome and Principe,0,0,0,0,Africa,Northern,Winter
Yemen,0,0,0,0,Eastern Mediterranean,Northern,Winter
Comoros,0,0,0,0,Africa,Southern,Summer
Tajikistan,0,0,0,0,Europe,Northern,Winter
Lesotho,0,0,0,0,Africa,Southern,Summer
Afghanistan,0,0,0,0,Eastern Mediterranean,Northern,Winter
Albania,0,0,0,0,Europe,Northern,Winter
Algeria,0,0,0,0,Africa,Northern,Winter
Andorra,0,0,0,0,Europe,Northern,Winter
Angola,0,0,0,0,Africa,Southern,Summer
Antigua and Barbuda,0,0,0,0,Americas,Northern,Winter
Argentina,0,0,0,0,Americas,Southern,Summer
Armenia,0,0,0,0,Europe,Northern,Winter
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Australia,0,0,0,0,Western Pacific,Southern,Summer
Austria,0,0,0,0,Europe,Northern,Winter
Azerbaijan,0,0,0,0,Europe,Northern,Winter
Bahamas,0,0,0,0,Americas,Northern,Winter
Bahrain,0,0,0,0,Eastern Mediterranean,Northern,Winter
Bangladesh,0,0,0,0,South-East Asia,Northern,Winter
Barbados,0,0,0,0,Americas,Northern,Winter
Belarus,0,0,0,0,Europe,Northern,Winter
Belgium,0,0,0,0,Europe,Northern,Winter
Benin,0,0,0,0,Africa,Northern,Winter
Bhutan,0,0,0,0,South-East Asia,Northern,Winter
Bolivia,0,0,0,0,Americas,Southern,Summer
Bosnia and Herzegovina,0,0,0,0,Europe,Northern,Winter
Brazil,0,0,0,0,Americas,Southern,Summer
Brunei,0,0,0,0,Western Pacific,Northern,Winter
Bulgaria,0,0,0,0,Europe,Northern,Winter
Burkina Faso,0,0,0,0,Africa,Northern,Winter
Cabo Verde,0,0,0,0,Africa,Northern,Winter
Cambodia,0,0,0,0,Western Pacific,Northern,Winter
Cameroon,0,0,0,0,Africa,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Canada,0,0,0,0,Americas,Northern,Winter
Central African Republic,0,0,0,0,Africa,Northern,Winter
Chad,0,0,0,0,Africa,Northern,Winter
Chile,0,0,0,0,Americas,Southern,Summer
China,9,0,0,9,Western Pacific,Northern,Winter
China,22,0,0,22,Western Pacific,Northern,Winter
China,9,0,0,9,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
China,2,0,0,2,Western Pacific,Northern,Winter
China,32,0,2,30,Western Pacific,Northern,Winter
China,5,0,0,5,Western Pacific,Northern,Winter
